area,n_units,mi_mean,mi_median,mi_sem,frac_sig,frac_active_dom,evoked_act_mean,evoked_pas_mean
LGd,42,-0.24628524432388557,-0.2251728978816939,0.04227599422906174,0.8809523809523809,0.23809523809523808,2.7686554621848734,2.7694061624649855
VISp,44,-0.23954993372978092,-0.24457680034872709,0.04452620852805381,0.9545454545454546,0.11363636363636363,5.2701925133689835,6.182034759358288
VISl,40,-0.19269987280176917,-0.16539455950711007,0.03753561654643203,0.95,0.125,5.641435294117647,5.740170588235293
VISal,42,-0.07704281859980625,-0.12251457687954245,0.051085141915946604,0.9523809523809523,0.2857142857142857,5.6793893557422965,5.486761904761904
VISrl,18,-0.2644925548998467,-0.2264049699437806,0.0626856415303598,0.8888888888888888,0.16666666666666666,2.2452156862745096,1.5940653594771241
VISpm,39,-0.2047503172273977,-0.20692031982354558,0.05292759576076947,0.8974358974358975,0.20512820512820512,1.68572850678733,1.0885037707390648
VISam,32,-0.22458409038611965,-0.1829051376965335,0.053021583019014454,0.875,0.15625,0.42414338235294125,0.7204007352941174
MGd,66,-0.45471551115546865,-0.4418168433576672,0.029725347515651215,0.9848484848484849,0.015151515151515152,0.17938680926916212,0.1579518716577538
CA1,42,-0.11086648275290602,-0.1537812774644613,0.07018252576075336,0.9523809523809523,0.40476190476190477,0.1307338935574228,0.05943137254901937
DG,37,0.10718869112316233,0.07164727495407223,0.07079122276049553,0.9459459459459459,0.6216216216216216,0.08303656597774242,0.04700794912559616
SCig,41,0.17024788595411083,0.15956392467789896,0.04627492733835973,0.9024390243902439,0.8048780487804879,-0.1239684361549501,-0.39752654232424706
MRN,28,-0.06999480316840605,-0.07004309578115471,0.07977971235169042,0.9285714285714286,0.42857142857142855,-0.4681134453781514,0.8138571428571426
,24,-0.03324978125759049,-0.012834296753051175,0.06429664996577247,0.875,0.4583333333333333,-0.059779411764706525,0.026921568627450505
,13,-0.06196907760103078,0.034905839832604216,0.11627587888066038,0.8461538461538461,0.5384615384615384,-1.3250316742081447,-0.14275113122171848
