area,n_units,peak_change_hz,peak_repeat_hz,change_amplification,change_latency_s
LGd,42,11.809133489461352,7.939760603695026,1.4873412535845965,0.047500000000000264
VISp,44,15.940760059612522,9.926105315449579,1.605943071629653,0.04250000000000026
VISl,40,23.66598360655738,14.342213114754099,1.6500928704100586,0.047500000000000264
VISal,42,20.498308613062704,15.73965651834504,1.3023351932217397,0.037500000000000255
VISrl,18,21.39799635701275,13.603521554341235,1.5729747824146387,0.04250000000000026
VISpm,39,10.61510438559619,4.660221381532856,2.277811184606134,0.05750000000000027
VISam,32,5.2322404371584685,2.427424863387981,2.1554695743932437,0.047500000000000264
MGd,66,2.054975989402223,0.4090081139261468,5.024291497975717,0.09750000000000031
CA1,42,1.1911267239136087,1.0362997658079616,1.1494036409290653,
DG,37,2.4132329050361836,1.6171909614532556,1.4922374429223753,
SCig,41,3.8831134212981464,1.1262161801945894,3.447928994082838,
MRN,28,9.859484777517569,3.698282591725217,2.6659630606860154,0.047500000000000264
,13,15.752416981925176,1.0571668768390126,14.900596421471105,
,24,2.0810564663023676,1.3148907103825138,1.5826839826839822,
