area,n_units,full_r2_mean,full_r2_sem,full_r2_frac_pos,unique_running_mean,unique_pupil_mean,unique_face_svd_mean
LGd,42,-0.024955618428066373,0.007635430986297472,0.11904761904761904,0.005762116163082066,0.003522541651147462,0.0008978965259822351
VISp,44,-0.02074470134473152,0.014257207318669841,0.38636363636363635,0.006596996242561462,0.005270434961527248,-0.0017560190423285928
VISl,40,-0.012252642658859258,0.0057332214487684436,0.3,0.00600907456537243,0.004836158201214857,-0.000785062870454567
VISal,42,-0.006687535891181878,0.0032703156557616986,0.38095238095238093,0.008340890170075,0.00286519077018879,-0.002875939316471063
VISrl,18,-0.02672491668878744,0.012118308827535994,0.2777777777777778,0.007203629628444712,-0.001183609917966856,0.0024608554279742143
VISpm,39,-0.024761223519024683,0.012491572230185257,0.20512820512820512,0.005557029812525098,0.0022506666883157613,-0.002094620680555892
VISam,32,-0.020462300791223242,0.005355304119191121,0.09375,0.0037439044172060676,0.00041949868682422675,-0.0014879045920679346
MGd,66,-0.03094775250704543,0.003768532576971176,0.015151515151515152,0.003008269715461541,-0.0009004034844551687,-0.0007777625031656388
CA1,42,-0.03059800210065164,0.01090854905371108,0.07142857142857142,0.004746494343548659,-0.0009505930730873453,-0.0020155753175328884
DG,37,-0.06492469223165834,0.02870115528930914,0.08108108108108109,0.0014036952807391818,-0.007558394229744334,0.005585484055651201
SCig,41,0.012900134556353228,0.011395221106291209,0.7073170731707317,0.040163887420487474,0.005094351555027704,-0.0022215564882882483
MRN,28,-0.03205635479701284,0.05311917691881615,0.5,0.048794569252225174,0.004447278945008293,0.006334373153679605
,24,-0.09030017597251572,0.029919889059653704,0.08333333333333333,0.000949387438595295,-0.006599814165383577,-2.4541067735602457e-05
,13,0.011959211972470466,0.016418959378721946,0.5384615384615384,0.04587645183962125,0.005796918323120246,-0.006200219253794505
