area,n_units,n_sig,onset_median_s,onset_iqr_low,onset_iqr_high,peak_median_s,n_units_total
LGd,33,33,0.06600485368699083,0.04793616609094897,0.08994564384875048,0.1312156561948541,42
VISp,43,43,0.058332895630883286,0.04794484015792477,0.07076861686232405,0.1171159759873035,44
VISl,39,39,0.05876341759449133,0.04804646336390306,0.10101921907209999,0.133083914983672,40
VISal,42,42,0.049551643789300215,0.04092492101847256,0.06353459177518062,0.12826551533589736,42
VISrl,14,14,0.07816167667402851,0.042239402140012317,0.11098685858442536,0.08898536177824212,18
VISpm,37,37,0.06626186492212582,0.05548517877281256,0.10135025232682437,0.12108202532863288,39
VISam,28,28,0.0680215643348987,0.05272392613375132,0.1089485519032678,0.13007680826791557,32
CA1,12,12,0.1196811875568109,0.08800648180715598,0.15730025638629286,0.15688098871760303,42
DG,10,10,0.1526696852971554,0.1376328258360786,0.16439074393014153,0.1224234259534569,37
SCig,21,21,0.12952794224395348,0.07635246770300341,0.14747431180285275,0.15297842693507846,41
MRN,22,22,0.08519862160619596,0.06185093474044834,0.12204396754799518,0.12177139165325457,28
,9,9,0.14555446931308325,0.06113234244821797,0.18612992313364884,0.13515371486528238,24
,9,9,0.1408950198092498,0.11169603763755731,0.19822110910035917,0.09754924832895995,13
