area,n_units,latency_s,baseline_hz,peak_hz,evoked_hz
LGd,42,0.04700000000000021,8.60563492063492,16.708333333333332,8.102698412698413
VISp,44,0.031000000000000194,2.4490151515151517,12.403409090909092,9.95439393939394
VISl,40,0.0410000000000002,2.6419166666666665,18.16875,15.526833333333332
VISal,42,0.031000000000000194,3.8096825396825396,20.458333333333332,16.64865079365079
VISrl,18,0.0370000000000002,4.419444444444445,19.13888888888889,14.719444444444445
VISpm,39,0.05100000000000021,3.9128205128205127,8.743589743589743,4.83076923076923
VISam,32,0.04900000000000021,3.908541666666667,6.0234375,2.114895833333333
MGd,66,,5.081464646464647,5.636363636363637,0.55489898989899
CA1,42,,4.78325396825397,5.273809523809524,0.4905555555555541
DG,37,,7.447837837837839,8.195945945945946,0.7481081081081067
SCig,41,,11.02089430894309,11.670731707317072,0.6498373983739825
MRN,28,0.05100000000000021,18.740238095238094,22.241071428571427,3.5008333333333326
,13,,15.999487179487177,16.403846153846153,0.40435897435897594
,24,,11.860138888888889,12.375,0.5148611111111112
