area,n_units,n_pairs,mean_nc_active,mean_nc_passive,delta_nc,median_nc_active,median_nc_passive,wilcoxon_stat,wilcoxon_p
LGd,42,861,0.03472739154328305,0.019077984722988994,0.015649406820294053,0.028837430590977542,0.011703385317720045,51589.0,3.2112418025727776e-75
VISp,44,946,0.027741162962125396,0.01767774707650346,0.010063415885621936,0.014940090293808035,0.009519821851485945,118228.0,2.762357324194983e-36
VISl,40,780,0.037630993086585615,0.024855368050690094,0.012775625035895521,0.025046789722921264,0.014595001241034623,67840.0,4.80525285613355e-41
VISal,42,861,0.025990651694283325,0.021268945925384107,0.004721705768899218,0.01950523076575252,0.014977396050744817,135291.0,5.7924216387082065e-12
VISrl,18,153,0.07203888731778708,0.06664113493986765,0.0053977523779194375,0.034926537961237646,0.016224597894480938,4201.0,0.002087920328635376
VISpm,39,741,0.019603793571116038,0.010799934399699482,0.008803859171416555,0.014206526466350991,0.007793180841407378,65495.0,5.134105934793371e-35
VISam,32,496,0.016627574989339235,0.009368167858965165,0.00725940713037407,0.01178495147454323,0.006355905543426236,32895.0,2.321789674972363e-19
CA1,42,861,0.014743121743322828,0.017057715944857978,-0.0023145942015351494,0.005500665961597434,0.007953635327370728,170937.0,0.045359472695953196
DG,37,666,0.03730387899969194,0.03155878275295045,0.0057450962467414865,0.021071615945543683,0.016660508594856033,96633.0,0.0036894424080700858
ProS,55,1485,0.04234566270854147,0.0358636931176646,0.006481969590876865,0.03043719754863945,0.024149436196723887,413724.0,7.020148990225835e-17
SCig,41,820,0.04329924739141269,0.020309413052757522,0.02298983433865517,0.021824424382768257,0.014480026621249895,111736.0,7.568724140477543e-17
MRN,28,378,0.03235441260031709,0.046596805401814795,-0.014242392801497708,0.014434941524985947,0.026915975287308463,26533.0,1.2611586246261148e-05
