area,mi_original,mi_matched,change_ratio_old,change_ratio_strict,change_ratio_miss_only,full_r2_old,full_r2_new,sacc_unique_r2
LGd,-0.2462852443238855,-0.2532643493753622,1.4312388374736147,1.985136808917915,2.5090060040026674,-0.0249556184280663,-0.0241751361394389,0.0008204877598299
VISp,-0.2395499337297809,-0.1995808988965187,1.650013027618551,2.665018411362441,2.3991769547325097,-0.0207447013447315,-0.0204222540226262,8.374781067356129e-05
VISl,-0.1926998728017691,-0.1051011223279556,1.6170955515659284,2.6853830227743276,2.860438292964246,-0.0122526426588592,-0.0115071589520084,0.0003411524950934
VISal,-0.0770428185998062,-0.0533566761576017,1.277240348254331,1.988975623116954,1.9251881363435144,-0.0066875358911818,-0.005943962177428,0.0006205184701164
VISrl,-0.2644925548998467,-0.2778543169289807,1.6328911815278802,2.669142742421201,2.615671641791046,-0.0267249166887874,-0.0255951433727103,0.0012282922398298
VISpm,-0.2047503172273977,-0.1399500103729102,1.9882119205298023,4.805057618437899,4.489999999999999,-0.0247612235190246,-0.0242416806208777,0.0007035166129823
VISam,-0.2245840903861196,-0.207538098318094,3.0042149631190775,2.6300738007380096,2.163776493256262,-0.0204623007912232,-0.0201560903115023,0.0004789662962139
CA1,-0.110866482752906,-0.0392480945036931,1.3531777956556728,0.9396648044692746,0.636824324324324,-0.0305980021006516,-0.0303962908365065,0.0004162825671734
DG,0.1071886911231623,0.1487717579596958,1.9597560975609776,1.0034342803621588,0.8053221288515404,-0.0649246922316583,-0.0649819993539839,0.0006100912641331
SCig,0.1702478859541108,0.1791167750577866,4.083333333333342,,1.9827160493827145,0.0129001345563532,0.0292576083556036,0.0165692144101939
MRN,-0.069994803168406,-0.0678287607018007,2.665813424345847,4.396341463414635,4.073122529644267,-0.0320563547970128,-0.0227294689559909,0.0093823215242342
