area,1055240613,1067588044,1115086689
LGd,-0.0264841973437883,-0.0184342248442893,
VISp,-0.019129320960267,0.0018209615687106,-0.0003951188063647
VISl,-0.0117609364428062,0.0019158391593972,-0.027622484656084
VISal,-0.0042845104596511,0.0032332445510352,-0.0214103648115673
VISrl,-0.0307304453971381,-0.0214114798344036,-0.0370062837088
VISpm,-0.0230798737432521,-0.0270125183156778,-0.0388332307707817
VISam,-0.0195949326830486,-0.0099062836073244,0.0013065168888617
CA1,-0.0290275870578452,-0.467380276518654,-0.0188182910794109
DG,-0.0719845200561591,-0.0365864424160323,-0.0283384962382783
ProS,-0.0413389526947867,,-0.0096107572167056
SCig,0.0144246328003113,-0.2360616539264031,-0.0009719954943284
MRN,-0.0402219368427592,-0.5034932694603306,0.0393756736219594
