session_id,area,n_units,n_trials,auc_raw,auc_residualized,n_hits,n_misses
1055240613,BEHAVIOR_ONLY,3,180,0.5530947580645161,0.5530947580645161,,
1055240613,LGd,42,180,0.631633064516129,0.6399899193548386,157.0,23.0
1055240613,VISp,44,180,0.687086693548387,0.6322076612903226,157.0,23.0
1055240613,VISl,40,180,0.4808870967741935,0.47971774193548383,157.0,23.0
1055240613,VISal,42,180,0.36695564516129037,0.3869959677419355,157.0,23.0
1055240613,VISrl,18,180,0.49996975806451605,0.4633568548387096,157.0,23.0
1055240613,VISpm,39,180,0.47936491935483866,0.5439818548387096,157.0,23.0
1055240613,VISam,32,180,0.6737802419354837,0.7298790322580644,157.0,23.0
1055240613,CA1,42,180,0.5753024193548387,0.5111794354838709,157.0,23.0
1055240613,DG,37,180,0.44650201612903223,0.42885080645161294,157.0,23.0
1055240613,ProS,55,180,0.537671370967742,0.5161290322580645,157.0,23.0
1055240613,SCig,41,180,0.5635483870967742,0.5250302419354839,157.0,23.0
1055240613,MRN,28,180,0.5822379032258065,0.5463004032258064,157.0,23.0
1067588044,BEHAVIOR_ONLY,3,243,0.6403357903357904,0.6403357903357904,,
1067588044,VISp,98,243,0.671048321048321,0.6092956592956593,185.0,58.0
1067588044,VISl,68,243,0.6295659295659295,0.5293202293202294,185.0,58.0
1067588044,VISal,75,243,0.6410728910728911,0.5872235872235873,185.0,58.0
1067588044,VISrl,45,243,0.642137592137592,0.601924651924652,185.0,58.0
1067588044,VISpm,82,243,0.4770270270270271,0.4675675675675676,185.0,58.0
1067588044,VISam,60,243,0.5294430794430796,0.5193284193284193,185.0,58.0
1067588044,CA1,90,243,0.5641687141687142,0.5442669942669942,185.0,58.0
1067588044,DG,26,243,0.5264127764127764,0.42653562653562654,185.0,58.0
1067588044,SCig,35,243,0.4896396396396397,0.4014742014742015,185.0,58.0
1067588044,MRN,17,243,0.5936527436527437,0.5081490581490581,185.0,58.0
1115086689,BEHAVIOR_ONLY,3,269,0.6581277213352685,0.6581277213352685,,
1115086689,VISp,102,269,0.8428882438316402,0.8410377358490566,263.0,6.0
1115086689,VISl,84,269,0.8982946298984036,0.89466618287373,263.0,6.0
1115086689,VISal,45,269,0.847532656023222,0.8419811320754718,263.0,6.0
1115086689,VISrl,63,269,0.5513062409288825,0.5419811320754717,263.0,6.0
1115086689,VISpm,72,269,0.7896589259796807,0.8086719883889696,263.0,6.0
1115086689,VISam,74,269,0.7189767779390421,0.7342162554426704,263.0,6.0
1115086689,CA1,140,269,0.7149492017416547,0.6863933236574746,263.0,6.0
1115086689,DG,49,269,0.6331277213352685,0.623367198838897,263.0,6.0
1115086689,ProS,12,269,0.5596516690856314,0.5388606676342527,263.0,6.0
1115086689,SCig,25,269,0.5422714078374455,0.6061320754716981,263.0,6.0
