area,n_sessions,n_units_mean,auc_raw_mean,auc_raw_sem,auc_residualized_mean,auc_residualized_sem
BEHAVIOR_ONLY,3,3.0,0.6171860899118583,0.03245464689710425,0.6171860899118583,0.03245464689710425
CA1,3,90.66666666666667,0.6181401117550692,0.04851113197269258,0.5806132511361133,0.05374558724064397
DG,3,37.333333333333336,0.5353475046256925,0.054059104959634265,0.49291787727537884,0.06522808479174563
LGd,1,42.0,0.631633064516129,0.0,0.6399899193548386,0.0
MRN,2,22.5,0.5879453234392751,0.005707420213468594,0.5272247306874323,0.019075672538374167
ProS,2,33.5,0.5486615200266867,0.010990149058944685,0.5274948499461586,0.011365817688094082
SCig,3,33.666666666666664,0.5318198115246199,0.02196628201574197,0.5108788396271279,0.05950184307443345
VISal,3,54.0,0.6185203974191346,0.13918815451245525,0.6054002290136649,0.13165696293901732
VISam,3,55.333333333333336,0.6407333664392018,0.057154258229927424,0.6611412356763847,0.07091746149960669
VISl,3,64.0,0.6695825520795089,0.12214507731280777,0.6345680513764811,0.1308349853759289
VISp,3,81.33333333333333,0.7336744194761161,0.054802834235959524,0.6941803521450128,0.07372597534145936
VISpm,3,64.33333333333333,0.5820169574538488,0.10382317781545061,0.6067404702650823,0.1033473743153844
VISrl,3,42.0,0.5644711970436634,0.041564850187730734,0.5357542129462778,0.040122061631534145
